n,alphabet,tiles,seed,m_gt,m_aco,m_greedy,area_gt,area_aco,area_greedy,aco_error_percent,greedy_error_percent,aco_area_error_percent,greedy_area_error_percent,gt_time,aco_time,greedy_time
2,2,8,1000,4,4,5,16,16,18,0.0,25.0,0.0,12.5,0.07298684120178223,6.418945550918579,0.0
2,3,8,1000,5,5,7,24,19,22,0.0,40.0,-20.833333333333336,-8.333333333333332,0.03658580780029297,5.815515756607056,0.0029456615447998047
2,4,8,1000,5,6,6,24,21,22,20.0,20.0,-12.5,-8.333333333333332,0.03815650939941406,5.43701696395874,0.0
3,2,8,1000,7,9,9,47,47,47,28.57142857142857,28.57142857142857,0.0,0.0,0.057326316833496094,10.180663824081421,0.012089729309082031
3,3,8,1000,8,9,12,58,57,59,12.5,50.0,-1.7241379310344827,1.7241379310344827,11.905549049377441,8.068368196487427,0.004764556884765625
3,4,8,1000,8,10,12,60,57,58,25.0,50.0,-5.0,-3.3333333333333335,8.488195419311523,8.00892186164856,0.007755279541015625
4,2,8,1000,11,12,15,102,100,98,9.090909090909092,36.36363636363637,-1.9607843137254901,-3.9215686274509802,12.798435688018799,13.097909688949585,0.017151832580566406
4,3,8,1000,12,14,19,128,111,113,16.666666666666664,58.333333333333336,-13.28125,-11.71875,94.44539022445679,11.077146768569946,0.010149240493774414
4,4,8,1000,12,14,17,128,117,116,16.666666666666664,41.66666666666667,-8.59375,-9.375,75.22132873535156,9.559681415557861,0.012129068374633789
